Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
US;Los Angeles-Long Beach-Santa Ana;Los Angeles - N. Mai;34.0669, -118.2417;PM10;AirNow;µg/m³;43.0;2017-06-08T06:00:00+10:00;United States
US;Fort Smith;ROLAND;35.408138, -94.524414;NOX;AirNow;ppm;0.002;2023-04-13T03:00:00+10:00;United States
CH;;CH0041A;46.9763828250552, 7.47871728542173;PM10;EEA Switzerland;µg/m³;13.7511;2018-04-09T16:00:00+10:00;Switzerland
NL;Hoofddorp;Hoofddorp-Hoofdweg;52.32750000000001, 4.71501;NO2;Netherlands;µg/m³;12.3;2023-08-10T09:00:00+10:00;Netherlands
CL;Valparaíso;Valparaiso;-33.049743798096, -71.614167231712;PM2.5;Chile - SINCA;µg/m³;45.0;2023-08-10T09:00:00+10:00;Chile
GB;Bush Estate;Bush Estate;55.862281, -3.205782;O3;DEFRA;µg/m³;46.0;2023-08-10T10:00:00+10:00;United Kingdom
US;Palm Bay-Melbourne-Titusville;Melbourne;28.0542, -80.6283;PM10;AirNow;µg/m³;17.0;2023-05-30T21:00:00+10:00;United States
PK;;Karachi;24.8415, 67.0091;PM2.5;AirNow;µg/m³;-999.0;2023-06-15T10:00:00+10:00;Pakistan
FR;Marne;FR14022;48.9622002533359, 4.36000018093262;NO2;EEA France;µg/m³;11.6;2023-08-10T07:00:00+10:00;France
TH;Samut Songkhram;Lat Yai,Mueang;;SO2;Thailand;ppm;0.003;2020-09-23T14:00:00+10:00;Thailand
CZ;Hlavní město Praha;CZ0ARIE;50.0814819335937, 14.4426918029785;PM10;EEA Czech Republic;µg/m³;3.3;2023-08-10T07:00:00+10:00;Czech Republic
FR;Paris;FR04131;48.8733329994682, 2.330278;NO2;EEA France;µg/m³;44.1;2023-08-10T07:00:00+10:00;France
BE;West-Vlaanderen;BETN029;51.01628, 2.582323;PM10;EEA Belgium;µg/m³;57.9;2023-08-10T08:00:00+10:00;Belgium
US;Eugene-Springfield;Eugene - Amazon Park;44.0263, -123.08377;O3;AirNow;ppm;0.04;2023-05-31T09:00:00+10:00;United States
US;Columbus;Heath;40.026037, -82.433;O3;AirNow;ppm;0.045;2023-05-31T09:00:00+10:00;United States
TR;İstanbul;İstanbul - Kandilli;41.063062, 29.064458;CO;Turkiye;µg/m³;1075363.0;2022-10-27T12:00:00+10:00;Turkey
IT;Frosinone;IT0991A;41.73, 13.33833;CO;EEA Italy;µg/m³;900.0;2023-01-09T19:00:00+10:00;Italy
IN;;Knowledge Park - III, Greater Noida - UPPCB;28.47272, 77.48199999999999;O3;caaqm;µg/m³;2.1;2022-10-31T12:00:00+10:00;India
GB;Southwark;Southwark - Tower Bridge Road;51.5013906712066, -0.0782034373606952;PM10;London Air Quality Network;µg/m³;8.5;2023-08-10T10:00:00+10:00;United Kingdom
ZA;Alfred Nzo;Lebone;-25.5956514035919, 27.1256297242044;SO2;South Africa;ppm;0.002046;2023-04-13T00:00:00+10:00;South Africa
DE;Mecklenburg-Vorpommern;DEMV021;54.17133, 12.080003;SO2;EEA Germany;µg/m³;0.77;2023-07-14T20:00:00+10:00;Germany
BG;Бургас;BG0044A;42.518892, 27.375144;NO2;EEA Bulgaria;µg/m³;9.26;2023-08-10T09:00:00+10:00;Bulgaria
FR;;FR08026;43.4282193232058, 3.6035558296341;NO2;EEA France;µg/m³;40.23;2017-12-08T16:00:00+10:00;France
TR;Tekirdağ;Tekirdağ;40.9764505263508, 27.5127312599115;PM10;Turkiye;µg/m³;45.356;2023-05-31T10:00:00+10:00;Turkey
SK;Bratislavský kraj;SK0001A;48.1250189994665, 17.125611;NO2;EEA Slovakia;µg/m³;20.1812;2023-05-31T13:00:00+10:00;Slovakia
MT;Gharb;MT00007;36.0670700094886, 14.19715309;NO2;EEA Malta;µg/m³;4.3248;2023-05-31T12:00:00+10:00;Malta
TR;Ordu;Stadyum;40.9834064696112, 37.8784349301347;PM10;Turkey;µg/m³;30.0;2017-07-20T13:00:00+10:00;Turkey
TH;Satun;City Hall, Satun;6.624747, 100.066159;O3;Air4Thai;ppm;0.0;2023-01-04T13:00:00+10:00;Thailand
DE;Bremen;DEHB002;53.060045, 8.916966;O3;EEA Germany;µg/m³;38.56;2023-08-10T07:00:00+10:00;Germany
FR;Nord;FR06011;50.3227545101591, 3.39592821801555;PM10;EEA France;µg/m³;7.3;2023-08-10T03:00:00+10:00;France
US;KINGS;Bklyn - PS 314;40.641819, -74.018707;PM2.5;AirNow;µg/m³;14.3;2023-05-31T09:00:00+10:00;United States
ZA;Alfred Nzo;Luka;-25.5077634717075, 27.1838594119125;PM2.5;South Africa;µg/m³;40.0;2023-05-31T00:00:00+10:00;South Africa
NL;Utrecht;Utrecht-Constant Erzeijstraat;52.0677, 5.12051;NO;Netherlands;µg/m³;-995.0;2023-08-10T09:00:00+10:00;Netherlands
MX;Apizaco;Centro de Salud;19.409853333333, -98.150011111111;SO2;Sinaica Mexico;ppm;6.72379392199218e-07;2023-04-01T01:00:00+10:00;Mexico
IN;;East Arjun Nagar, Delhi - CPCB;28.655601699999995, 77.2859318;O3;caaqm;µg/m³;12.37;2020-02-10T13:00:00+10:00;India
GB;Lambeth;Lambeth - Bondway Interchange;51.4854867739729, -0.124545234819213;NO2;London Air Quality Network;µg/m³;14.4;2023-06-27T11:00:00+10:00;United Kingdom
ES;Sevilla;ES1425A;37.3752499994817, -6.00558;NO;EEA Spain;µg/m³;0.0;2023-08-10T07:00:00+10:00;Spain
AT;Niederösterreich;AT31902;48.331111110578, 15.903611111111099;PM2.5;EEA Austria;µg/m³;2.40000009;2023-08-10T04:00:00+10:00;Austria
MX;Aguascalientes;Instituto Educativo;21.903277777778005, -102.27611111111001;PM2.5;Sinaica Mexico;µg/m³;14.494;2023-06-24T19:00:00+10:00;Mexico
TH;Sukhothai;Le Thai Community Park;17.006059, 99.81927;PM2.5;Air4Thai;µg/m³;19.0;2023-05-25T05:00:00+10:00;Thailand
FR;Loire-Atlantique;FR23178;47.3191868140786, -2.06695160353629;NO;EEA France;µg/m³;0.3;2023-08-10T04:00:00+10:00;France
US;Evansville;Evansville-Buena Vis;38.01325, -87.577923;NO2;AirNow;ppm;0.0001;2023-05-31T09:00:00+10:00;United States
IT;;IT1648A;45.72722, 9.12583;O3;EEA Italy;µg/m³;92.77561;2022-03-14T23:00:00+10:00;Italy
NL;Velsen;Velsen-Reijndersweg;52.4789, 4.57934;PM2.5;Netherlands;µg/m³;5.4;2023-08-10T09:00:00+10:00;Netherlands
TH;Bangkok;Chaloem Phrakiat Rama 9 Park Min buri, Bangkok;13.813578, 100.73208;PM10;Air4Thai;µg/m³;40.0;2022-08-25T14:00:00+10:00;Thailand
US;Baton Rouge;Port Allen;30.5019, -91.2111;O3;AirNow;ppm;0.057;2023-05-31T09:00:00+10:00;United States
FR;Hautes-Alpes;FR24038;44.54862855413419, 6.06730227731882;PM10;EEA France;µg/m³;7.7;2023-08-10T06:00:00+10:00;France
AT;Tirol;AT72538;47.4587169994652, 11.90995;NO2;EEA Austria;µg/m³;20.88150024;2023-08-10T04:00:00+10:00;Austria
PL;Białystok;Białystok, al.Piłsudskiego;53.135285999999994, 23.161325;NO2;GIOS;µg/m³;34.1;2023-06-15T09:00:00+10:00;Poland
DE;Bremen;DEHB012;53.12456099999999, 8.735047;CO;EEA Germany;µg/m³;250.0;2023-08-10T07:00:00+10:00;Germany
TR;Manisa;Manisa;38.6154691921907, 27.4049384426581;PM10;Turkiye;µg/m³;35.586;2023-05-31T10:00:00+10:00;Turkey
ZA;City  of  Ekurhuleni;Olifantsfontein-NAQI;-25.973743, 28.236044;SO2;South Africa;ppm;0.010637;2023-05-02T20:00:00+10:00;South Africa
DE;Bayern;DEBY004;49.86942200000001, 9.171544;PM2.5;EEA Germany;µg/m³;3.96;2023-08-10T07:00:00+10:00;Germany
BG;Стара Загора;BG0055A;42.432356, 25.637389;PM10;EEA Bulgaria;µg/m³;10.2;2022-08-02T16:00:00+10:00;Bulgaria
TH;Prachuap Khiri Khan;Hua Hin Weather Station Prachuap Khiri Khan Meteorological Station;12.577835, 99.953663;NO2;Air4Thai;ppm;0.009;2023-04-13T09:00:00+10:00;Thailand
TW;連江縣;Matsu;26.160469, 119.949875;PM2.5;Taiwan;µg/m³;13.0;2018-02-22T10:00:00+10:00;Taiwan, China
NO;;Bangeløkka;59.73327, 10.21167;NO2;Norway;µg/m³;13.847358;2022-09-28T19:00:00+10:00;Norway
US;Flagstaff;Flagstaff Middle Sch;35.206111, -111.652778;O3;AirNow;ppm;0.052;2023-05-31T09:00:00+10:00;United States
MX;Tepeji del Río de Ocampo;Primaria Melchor Ocampo;19.904972222222, -99.341583333333;PM2.5;Sinaica Mexico;µg/m³;32.213;2023-08-09T14:00:00+10:00;Mexico
TR;İstanbul;İstanbul - Sarıyer;41.128889, 29.049722;O3;Turkiye;µg/m³;43.125;2023-05-31T10:00:00+10:00;Turkey
FR;;FR01060;49.1688475216756, 6.21266765659504;PM10;EEA France;µg/m³;1.5;2019-09-25T22:00:00+10:00;France
BA;;Ivan Sedlo;43.715, 18.036;NO2;Bosnia;µg/m³;0.0;2016-06-06T19:30:00+10:00;Bosnia and Herzegovina
IT;Modena;IT2073A;44.53944, 10.79139;O3;EEA Italy;µg/m³;87.0;2023-08-10T08:00:00+10:00;Italy
US;Lincoln;Davey;40.984699, -96.6772;O3;AirNow;ppm;0.055;2017-06-03T04:00:00+10:00;United States
TR;Gaziantep;Gaziantep - Gaski D6;37.0470937324025, 37.3590894190952;NO2;Turkiye;µg/m³;377.18;2023-04-09T21:00:00+10:00;Turkey
NL;Amsterdam;Amsterdam-Sportpark Ookmeer (Osdorp);52.3668, 4.79334;NO;Netherlands;µg/m³;-0.5;2023-08-10T09:00:00+10:00;Netherlands
FR;Indre-et-Loire;FR34028;47.3946463856954, 0.704872969152508;PM10;EEA France;µg/m³;8.3;2023-08-10T06:00:00+10:00;France
DE;Sachsen-Anhalt;DEST015;51.651166, 12.302866;NO2;EEA Germany;µg/m³;8.933785;2023-08-01T07:00:00+10:00;Germany
TH;Kanchanaburi;Si Sawat District Office;14.600278, 99.114444;PM2.5;Air4Thai;µg/m³;16.0;2022-05-16T13:00:00+10:00;Thailand
TH;Phichit;Phichit Provincial , Phichit;16.442554, 100.322756;O3;Air4Thai;ppm;0.031;2023-05-29T02:00:00+10:00;Thailand
DE;Nordrhein-Westfalen;DENW260;51.953267000000004, 7.619387;NO;EEA Germany;µg/m³;10.281;2023-07-13T15:00:00+10:00;Germany
IT;Taranto;IT1679A;40.53778, 17.42389;NO2;EEA Italy;µg/m³;5.12;2023-08-10T10:00:00+10:00;Italy
US;Modesto;Modesto - 14th Stree;37.642165, -120.994212;CO;AirNow;ppm;0.1;2023-05-31T09:00:00+10:00;United States
CL;Talca;Universidad de Talca;-35.406582744695, -71.633396474869;CO;Chile - SINCA;µg/m³;0.0;2017-06-29T01:00:00+10:00;Chile
NL;Schiedam;Schiedam-Alphons Arienstraat;51.9214, 4.40139;O3;Netherlands;µg/m³;18.5;2023-08-10T09:00:00+10:00;Netherlands
XK;Obiliq;Obiliq;42.683882, 21.0733;PM2.5;Kosovo;µg/m³;10.9;2023-05-26T08:00:00+10:00;
US;CA8 - ARB;MMCA81008;38.71376, -120.591044;PM2.5;AirNow;µg/m³;2.0;2019-12-13T06:00:00+10:00;United States
US;Los Angeles-Long Beach-Santa Ana;Anaheim;33.830586, -117.938509;NOX;AirNow;ppm;0.0039;2023-05-31T09:00:00+10:00;United States
US;San Francisco-Oakland-Fremont;San Pablo - Rumrill;37.9604, -122.3571;CO;AirNow;ppm;0.3;2023-05-31T09:00:00+10:00;United States
US;Riverside-San Bernardino-Ontario;Riverside - Rubidoux;33.999449, -117.415831;PM10;AirNow;µg/m³;37.0;2023-05-31T09:00:00+10:00;United States
US;Springfield;Hillcrest HS;37.256069, -93.299692;PM2.5;AirNow;µg/m³;7.8;2023-05-31T09:00:00+10:00;United States
MX;Durango;SRNyMA;24.026777777777998, -104.69297500000002;O3;Sinaica Mexico;ppm;0.010601;2023-08-06T16:00:00+10:00;Mexico
US;Boston-Cambridge-Quincy;Chelmsford;42.6267, -71.3622;O3;AirNow;ppm;0.028;2023-05-31T09:00:00+10:00;United States
FR;Bas-Rhin;FR16029;48.610333870068395, 7.78162919922683;NO2;EEA France;µg/m³;17.0;2023-08-10T07:00:00+10:00;France
AU;;Fisherman's Landing;-23.7937, 151.16;PM2.5;Australia - Queensland;µg/m³;3.8;2021-12-09T10:00:00+10:00;Australia
IN;;B R Ambedkar University, Lucknow - UPPCB;26.766433000000003, 80.927299;O3;caaqm;µg/m³;36.49;2022-10-17T02:00:00+10:00;India
IN;;Central University, Hyderabad - TSPCB;17.460103, 78.334361;PM2.5;caaqm;µg/m³;52.0;2022-10-31T12:00:00+10:00;India
IL;;תחנה:ארז;31.56193, 34.56336;NO2;Israel;ppm;0.0102;2019-04-04T07:00:00+10:00;Israel
PT;Setúbal;PT03093;38.529167, -8.894167;NO2;EEA Portugal;µg/m³;4.4;2023-06-15T15:00:00+10:00;Portugal
TR;Hatay;Hatay - Mustafa Kemal Üniversitesi;36.3324502051441, 36.1948994;O3;Turkiye;µg/m³;72.556;2023-05-31T10:00:00+10:00;Turkey
AT;Wien;AT9SCHA;48.2353699994667, 16.301563;SO2;EEA Austria;µg/m³;1.17044448;2023-08-10T04:00:00+10:00;Austria
IT;Cosenza;IT1766A;39.71376, 16.19397;CO;EEA Italy;µg/m³;671.61286;2023-08-10T08:00:00+10:00;Italy
DE;Bayern;DEBY068;50.048397, 10.232076;O3;EEA Germany;µg/m³;26.69;2023-08-10T07:00:00+10:00;Germany
PL;Częstochowa;Częstochowa, ul. AK/Jana Pawła II;50.817217, 19.118997;PM10;GIOS;µg/m³;15.1505;2023-06-15T08:00:00+10:00;Poland
US;LOS ANGELES;Pico Rivera;34.010283, -118.068484;NO2;AirNow;ppm;0.0037;2023-05-31T09:00:00+10:00;United States
MX;Tizayuca;Biblioteca;19.840583333333, -98.981333333333;PM2.5;Sinaica Mexico;µg/m³;0.0;2023-08-10T09:00:00+10:00;Mexico
IT;;MALCANTONE;44.8909, 10.3996;PM10;Arpae Emilia-Romagna;µg/m³;50.0;2019-12-17T09:00:00+10:00;Italy
ES;Ciudad Real;ES1279A;38.6819799994758, -4.08858;PM10;EEA Spain;µg/m³;138.0;2023-08-10T07:00:00+10:00;Spain
US;CA8 - ARB;MMCA81044;41.047486, -123.677108;PM2.5;AirNow;µg/m³;7.0;2020-04-10T10:00:00+10:00;United States
US;CARSON CITY;CC_Armory;39.144804, -119.766409;PM2.5;AirNow;µg/m³;1.0;2023-05-31T09:00:00+10:00;United States
US;Cleveland-Elyria-Mentor;Painesville;41.726811, -81.242156;O3;AirNow;ppm;0.063;2023-05-31T09:00:00+10:00;United States
BR;;Cubatão-Vale do Mogi;-23.83158901, -46.36956879;SO2;Sao Paulo CETESB;µg/m³;4.0;2023-04-06T01:00:00+10:00;Brazil
MX;GUANAJUATO;Estaci�n T21;21.108683, -101.68863;SO2;AirNow;ppm;0.0064;2023-08-10T09:00:00+10:00;Mexico
CZ;Moravskoslezský;CZ0TOCB;49.8398475646973, 18.2899761199951;PM2.5;EEA Czech Republic;µg/m³;3.3;2023-08-10T06:00:00+10:00;Czech Republic
TH;Sing Buri;Natural Resources and Environment Office, Sing Buri;14.889702, 100.397979;PM2.5;Air4Thai;µg/m³;28.0;2023-05-31T10:00:00+10:00;Thailand
US;Omaha-Council Bluffs;Pisgah, Forestry Off;41.832199, -95.928101;O3;AirNow;ppm;0.063;2023-05-31T09:00:00+10:00;United States
MX;Coronango;Velódromo;19.115858055556, -98.277487222222;CO;Sinaica Mexico;ppm;2.45235833333333;2023-08-10T08:00:00+10:00;Mexico
TH;Khon Kaen;Hydrogeological Group Water Resources Regional Office4 khonkaen;16.44538333, 102.83525;PM10;Air4Thai;µg/m³;93.0;2023-03-22T07:00:00+10:00;Thailand
US;Dallas-Fort Worth-Arlington;Ft. Worth Northwest;32.805818, -97.356567;O3;AirNow;ppm;0.041;2023-05-31T09:00:00+10:00;United States
DE;;DEMV023;53.631805, 11.398332;PM10;EEA Germany;µg/m³;19.62;2021-01-01T11:00:00+10:00;Germany
US;CA8 - ARB;MMCA81038;38.568503, -121.493254;PM2.5;AirNow;µg/m³;5.8;2020-02-28T08:00:00+10:00;United States
US;UINTAH;Vernal #4;40.464722, -109.56083;PM2.5;AirNow;µg/m³;3.6;2023-05-31T09:00:00+10:00;United States
FR;;FR21016;49.1752491940393, -0.35361103181024;CO;EEA France;µg/m³;30.5;2018-01-01T04:00:00+10:00;France
SE;Stockholm;Urban bakgrund Stockholm;;PM10;Stockholm;µg/m³;7.10725;2021-07-21T07:00:00+10:00;Sweden
AT;Tirol;AT72821;47.3487739994651, 11.692028;PM10;EEA Austria;µg/m³;19.57800102;2023-08-10T04:00:00+10:00;Austria
IN;;GIDC, Nandesari - Nandesari Ind. Association;22.410802, 73.097923;SO2;caaqm;µg/m³;5.0;2022-10-16T20:15:00+10:00;India
FR;Cantal;FR07052;44.9200896648358, 2.44108195306639;PM10;EEA France;µg/m³;9.6;2023-08-10T07:00:00+10:00;France
FR;Charente;FR09106;45.6514582171942, 0.162366894343467;NO2;EEA France;µg/m³;31.4;2023-08-10T07:00:00+10:00;France
US;WARD;RYDER;47.940861, -101.571583;PM10;AirNow;µg/m³;9.0;2023-05-30T17:00:00+10:00;United States
US;Philadelphia-Camden-Wilmington;Camden Spruce St;39.934446, -75.125291;PM2.5;AirNow;µg/m³;8.9;2023-05-31T06:00:00+10:00;United States
AU;Gladstone;Clinton;-24.0, 151.0;PM2.5;Australia - Queensland;µg/m³;3.9;2023-08-10T10:00:00+10:00;Australia
US;Santa Barbara-Santa Maria;Santa Barbara;34.42775, -119.69091;O3;AirNow;ppm;0.019;2023-05-30T23:00:00+10:00;United States
MX;Nezahualcóyotl;Nezahualcóyotl;19.393888888889, -99.02833333333298;NO;Sinaica Mexico;ppm;0.0;2023-08-10T07:00:00+10:00;Mexico
US;CUSTER;Weatherford;35.56028, -98.68349;PM10;AirNow;µg/m³;14.0;2019-08-25T18:00:00+10:00;United States
TW;花蓮縣;Hualien;23.971306, 121.599769;CO;Taiwan;ppm;0.11;2021-05-17T15:00:00+10:00;Taiwan, China
CA;;A�roport de Montr�al;45.468297, -73.741185;CO;AirNow;ppm;0.5;2023-02-02T10:00:00+10:00;Canada
BG;Велико Търново;BG0057A;43.126475, 25.691211;NO2;EEA Bulgaria;µg/m³;9.13;2023-08-10T09:00:00+10:00;Bulgaria
FR;Hauts-de-Seine;FR04017;48.8813919489129, 2.27805569530438;O3;EEA France;µg/m³;37.6;2023-08-10T07:00:00+10:00;France
IQ;;Baghdad;33.3128, 44.3615;PM2.5;AirNow;µg/m³;45.0;2023-06-09T05:00:00+10:00;Iraq
ZA;Nkangala;eMalahleni - SAWS;-25.877861, 29.186472;PM2.5;South Africa;µg/m³;88.95;2023-05-31T03:00:00+10:00;South Africa
XK;Palaj;Palaj;42.677721, 21.052604;NO2;Kosovo;µg/m³;6.4;2023-05-26T08:00:00+10:00;
CA;;Horseshoe Bay;49.368, -123.277;PM2.5;AirNow;µg/m³;5.9;2023-08-10T09:00:00+10:00;Canada
AU;Tasmania Region;Scottsdale;-41.162, 147.515;PM10;Australia - Tasmania;µg/m³;7.0;2023-08-09T19:22:06+10:00;Australia
ZA;City of Tshwane;Olievenhoutbosch-NAQI;-25.911667, 28.092939;PM2.5;South Africa;µg/m³;0.253;2023-03-13T05:00:00+10:00;South Africa
DE;;DEHH072;53.535958, 9.84408;NO2;EEA Germany;µg/m³;21.67;2019-12-31T11:00:00+10:00;Germany
TH;Prachuap Khiri Khan;Hua Hin Weather Station Prachuap Khiri Khan Meteorological Station;12.577835, 99.953663;CO;Air4Thai;ppm;0.17;2022-08-06T05:00:00+10:00;Thailand
DE;Sachsen;DESN004;51.175669, 14.443771;PM10;EEA Germany;µg/m³;10.276;2023-07-14T20:00:00+10:00;Germany
CH;;CH0029A;47.5670060049929, 7.59470775490724;NO2;EEA Switzerland;µg/m³;56.1377;2023-01-03T17:00:00+10:00;Switzerland
CA;;Lac-Édouard;47.6472, -72.2914;PM2.5;AirNow;µg/m³;1.5;2021-11-12T03:00:00+10:00;Canada
FR;Somme;FR18039;50.1294237654576, 1.6108320180246;PM10;EEA France;µg/m³;4.3;2023-08-05T15:00:00+10:00;France
US;Richmond;Richmond City Near R;37.59088, -77.46925;PM2.5;AirNow;µg/m³;3.6;2022-05-25T05:00:00+10:00;United States
IT;Roma;IT0825A;41.9475, 12.46972;NO2;EEA Italy;µg/m³;29.0;2023-08-10T09:00:00+10:00;Italy
US;CLARK;Walnut Rec.;36.214465, -115.091437;CO;AirNow;ppm;0.1;2023-05-31T09:00:00+10:00;United States
TT;Couva;Point Lisas;10.41603, -61.47468;PM2.5;trinidad-tobago;µg/m³;3.01166666666666;2023-05-31T09:00:00+10:00;Trinidad and Tobago
MX;GUANAJUATO;Estaci�n Cruz Roja;20.578558, -101.19886000000001;NO;AirNow;ppm;0.00346;2023-08-10T09:00:00+10:00;Mexico
TR;İzmir;İzmir - Ödemiş;38.229481, 27.974401;NO2;Turkiye;µg/m³;25.84;2023-05-31T10:00:00+10:00;Turkey
IT;;IT2094A;38.39092, 16.23452;CO;EEA Italy;µg/m³;179.54846;2022-06-07T00:00:00+10:00;Italy
ME;Nikšić;"Gimnazija ""Stojan Cerović""";42.78137, 18.942683;O3;Montenegro;µg/m³;36.1;2023-08-10T08:00:00+10:00;Montenegro
ES;Asturias;ES0880A;43.5518999994638, -5.918;O3;EEA Spain;µg/m³;87.0;2023-08-10T07:00:00+10:00;Spain
RS;beograd;MOBILNA SURDULICA;44.74855, 19.689692;PM2.5;serbia;µg/m³;9.1783333333333;2023-06-15T10:00:00+10:00;Serbia
US;Dover;KILLENS;38.986672, -75.5568;PM2.5;AirNow;µg/m³;16.0;2023-05-31T09:00:00+10:00;United States
US;GILPIN;Black Hawk;39.792512, -105.491309;O3;AirNow;ppm;0.048;2023-05-31T00:00:00+10:00;United States
US;GREENE;Fellows Lake;37.31951, -93.204635;O3;AirNow;ppm;0.047;2016-03-24T04:00:00+10:00;United States
AT;;Hartberg Zentrum;47.28275725435727, 15.971955920116681;O3;EEA Austria;µg/m³;28.0;2016-12-12T19:00:00+10:00;Austria
US;Washington-Arlington-Alexandria;Beltsville;39.0284, -76.8172;O3;AirNow;ppm;0.046;2023-05-31T05:00:00+10:00;United States
US;Rapid City;Credit Union;44.087397, -103.273777;PM2.5;AirNow;µg/m³;3.4;2023-05-31T09:00:00+10:00;United States
US;Lebanon;Lebanon;43.629605, -72.309499;O3;AirNow;ppm;0.046;2023-05-31T09:00:00+10:00;United States
US;OLIVER;Hannover;47.1858, -101.4281;O3;AirNow;ppm;0.038;2023-05-30T17:00:00+10:00;United States
ZA;Alfred Nzo;Luka;-25.5077634717075, 27.1838594119125;PM10;South Africa;µg/m³;49.0;2022-08-05T05:00:00+10:00;South Africa
CZ;;CZ0TOFF;49.8391736740214, 18.2633785468488;SO2;EEA Czech Republic;µg/m³;10.9;2018-04-26T03:00:00+10:00;Czech Republic
IL;;תחנה:תחנה מרכזית תל אביב;32.05602, 34.77903;CO;Israel;ppm;0.5;2019-04-03T07:00:00+10:00;Israel
CA;;Buffalo Narrows;55.83473, -108.40377;PM2.5;AirNow;µg/m³;5.0;2023-08-10T09:00:00+10:00;Canada
IT;;IT1650A;45.626944, 9.024167;O3;EEA Italy;µg/m³;87.860275;2022-03-14T23:00:00+10:00;Italy
US;Rock Springs;Seedskadee;41.905004, -109.849956;SO2;AirNow;ppm;0.001;2021-04-01T03:00:00+10:00;United States
DE;Rheinland-Pfalz;DERP023;49.6287, 8.3649;PM2.5;EEA Germany;µg/m³;3.21551991;2023-07-14T20:00:00+10:00;Germany
US;Oklahoma City;North OKC;35.612801, -97.472198;NO;AirNow;ppm;0.0;2023-05-31T09:00:00+10:00;United States
BR;Paulínia-Sta Terezinha;Paulínia-Sta Terezinha;-22.780208950215425, -47.139036494729396;PM10;Sao Paulo CETESB;µg/m³;28.0;2023-04-06T01:00:00+10:00;Brazil
TR;Eskişehir;Eskişehir - Metin Sonmez;39.715656, 30.617552;PM2.5;Turkiye;µg/m³;7.297;2023-05-31T10:00:00+10:00;Turkey
IN;;Sonia Vihar, Delhi - DPCC;28.67795, 77.29868;PM10;caaqm;µg/m³;353.0;2018-05-12T15:00:00+10:00;India
US;GARRETT;Piney Run;39.705799, -79.011902;PM2.5;AirNow;µg/m³;7.0;2023-05-31T09:00:00+10:00;United States
IN;;Naharlagun, Naharlagun - APSPCB;27.103358000000004, 93.679645;CO;caaqm;µg/m³;220.0;2022-10-15T12:45:00+10:00;India
IT;Caserta;IT1487A;41.0825, 14.3375;NO2;EEA Italy;µg/m³;18.39;2023-08-10T09:00:00+10:00;Italy
CA;NEWFOUNDLAND;MacPherson Avenue -;48.95224000000001, -57.922070000000005;SO2;AirNow;ppm;0.0002;2023-08-10T09:30:00+10:00;Canada
US;Cincinnati-Middletown;NKU;39.0217, -84.4744;O3;AirNow;ppm;0.038;2023-05-31T09:00:00+10:00;United States
DE;Hessen;DEHE042;50.532965, 8.684397;NO2;EEA Germany;µg/m³;3.1168108;2023-07-14T20:00:00+10:00;Germany
DE;Hessen;DEHE024;51.291757, 9.774588;NO;EEA Germany;µg/m³;0.3742142;2023-07-13T15:00:00+10:00;Germany
TR;Tokat;Tokat - Turhal;40.3856098020358, 36.0827968520147;SO2;Turkiye;µg/m³;3.201;2023-05-31T10:00:00+10:00;Turkey
HU;Borsod-Abaúj-Zemplén;HU0044A;48.4738883994673, 21.21167946;PM10;EEA Hungary;µg/m³;10.3132103;2023-08-10T10:00:00+10:00;Hungary
US;YUKON-KOYUKUK;Denali NPP;63.723301, -148.967499;O3;AirNow;ppm;0.025;2023-05-29T18:00:00+10:00;United States
TR;Manisa;Manisa - Turgutlu (Yeni);38.5001616927897, 27.7090709112217;PM10;Turkiye;µg/m³;56.552;2023-05-31T10:00:00+10:00;Turkey
ZA;Gert Sibande;Lebohang;-26.381111, 28.918333;NOX;South Africa;ppm;0.01685;2023-03-31T02:00:00+10:00;South Africa
DE;Thüringen;DETH020;50.979455, 11.037924;NO;EEA Germany;µg/m³;1.24740005;2023-08-01T07:00:00+10:00;Germany
IE;Laois;IE001CM;53.036125, -7.288675;PM10;EEA Ireland;µg/m³;4.76;2023-08-10T07:00:00+10:00;Ireland
TR;Sivas;Sivas - Başöğretmen;39.7487205462114, 37.0256551065215;NO2;Turkiye;µg/m³;24.175;2023-05-31T10:00:00+10:00;Turkey
IN;;Silk Board, Bengaluru - KSPCB;12.917348000000002, 77.622813;NO2;caaqm;µg/m³;22.6;2022-10-31T12:00:00+10:00;India
DE;Nordrhein-Westfalen;DENW038;51.45346, 6.865107;O3;EEA Germany;µg/m³;71.546;2023-07-14T20:00:00+10:00;Germany
CA;NEWFOUNDLAND;St. John's;47.56038, -52.7115;O3;AirNow;ppm;0.026;2023-08-10T09:30:00+10:00;Canada
PT;Setúbal;PT03094;38.524167, -8.894167;PM10;EEA Portugal;µg/m³;7.3;2023-06-15T13:00:00+10:00;Portugal
GB;Blackburn;Blackburn Accrington Road;53.747751, -2.452724;NO2;DEFRA;µg/m³;13.0;2023-08-10T10:00:00+10:00;United Kingdom
FR;Nord;FR06006;50.3642606948305, 3.5227344035218606;PM2.5;EEA France;µg/m³;11.3;2023-08-10T07:00:00+10:00;France
US;BETHEL;Bethel;60.79583, -161.767;PM2.5;AirNow;µg/m³;3.0;2020-06-26T10:00:00+10:00;United States
